"cell_id","sdimx","sdimy","cell_type"
"cell_499",6560.97,-105.98,"L6 eNeuron"
"cell_500",6521.87,357.02,"L5 eNeuron"
"cell_501",6515.97,590.03,"L6 eNeuron"
"cell_502",6482.57,798.99,"L6 eNeuron"
"cell_503",6399.67,-153.58,"L6 eNeuron"
"cell_504",6395.27,-311.48,"L6 eNeuron"
"cell_506",6285.57,547.12,"L5 eNeuron"
"cell_508",6241.27,787.18,"L6 eNeuron"
"cell_511",6139.17,670.56,"L6 eNeuron"
"cell_513",6847.45,1179.46,"L6 eNeuron"
"cell_514",6662.67,1207.87,"L6 eNeuron"
"cell_515",6645.07,-519.38,"L6 eNeuron"
"cell_516",6367.17,1240.76,"L5 eNeuron"
"cell_517",6132.47,1002.12,"L5 eNeuron"
"cell_518",6036.27,966.46,"L6 eNeuron"
"cell_519",6028.17,798.77,"L6 eNeuron"
"cell_520",5980.97,308.12,"L6 eNeuron"
"cell_521",5931.57,1141.04,"L6 eNeuron"
"cell_522",5921.07,981.4,"L6 eNeuron"
"cell_523",5899.27,382.42,"L6 eNeuron"
